strain,tsc,sex,filepaths,file_lengths,file_train_end,file_test_start,sfreq,exclusions,source,testfold0,testfold1,testfold2,testfold3,testfold4
TD2_M1_HET_19,DBA2,Het,M,"['/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_M1_HET_19/19x1EEG_TD2M1HET_050121.edf', '/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_M1_HET_19/19x2EEG_TD2M1HET_050121.edf', '/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_M1_HET_19/19x3EEG_TD2M1HET_050121.edf']","[44963840, 13944320, 6067200]","[12476160, 13944320, 6067200]","[12476160, None, None]",256.0,,Jax_Lab,1.0,1.0,1.0,1.0,1.0
TD1_F1_HET_15,DBA2,Het,F,"['/Users/Shared/Mice_Jax_Lab/D2/HET/TD1_F1_HET_15/15x1EEG_TD1F1R1HET_042621.edf', '/Users/Shared/Mice_Jax_Lab/D2/HET/TD1_F1_HET_15/15x2EEG_TD1F1R1HET_042621.edf']","[6238720, 69683200]","[6238720, 31722240]","[None, 31722240]",256.0,,Jax_Lab,0.0,1.0,1.0,0.0,1.0
TD2_F2_HET_12,DBA2,Het,F,"['/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_F2_HET_12/12x2EEG_TD2F2HET_041621.edf', '/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_F2_HET_12/12EEG_TD2F2HET_040121.edf']","[105771520, 101399040]","[2186240, 101399040]","[2186240, None]",256.0,,Jax_Lab,0.0,1.0,0.0,1.0,0.0
TD2_F1_HET_11,DBA2,Het,F,"['/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_F1_HET_11/11EEG_TD2F1HET_040121.edf', '/Users/Shared/Mice_Jax_Lab/D2/HET/TD2_F1_HET_11/11x2EEG_TD2F1HET_041621.edf']","[104399360, 105771520]","[104399360, 686080]","[None, 686080]",256.0,,Jax_Lab,1.0,0.0,0.0,0.0,0.0
TD1_M3_HET_2,DBA2,Het,M,['/Users/Shared/Mice_Jax_Lab/D2/HET/TD1_M3_HET_2/2EEG_TD1M3HET_032421.edf'],[107599360],[53799680],[53799680],256.0,,Jax_Lab,1.0,0.0,0.0,1.0,1.0
TD1_F5_HET_16,DBA2,Het,F,['/Users/Shared/Mice_Jax_Lab/D2/HET/TD1_F5_HET_16/16EEG_TD1F5L4HET_042621.edf'],[93944320],[46972160],[46972160],256.0,,Jax_Lab,0.0,0.0,1.0,0.0,0.0
TB12_F2_HET_25,C57B6,Het,F,"['/Users/Shared/Mice_Jax_Lab/B6/HET/TB12_F2_HET_25/25x1EEG_TB12F2HET_071421.edf', '/Users/Shared/Mice_Jax_Lab/B6/HET/TB12_F2_HET_25/25x2EEG_TB12F2HET_071421.edf']","[101969920, 23342080]","[39313920, 23342080]","[39313920, None]",256.0,,Jax_Lab,1.0,0.0,1.0,0.0,1.0
TB12_F3_HET_26,C57B6,Het,F,['/Users/Shared/Mice_Jax_Lab/B6/HET/TB12_F3_HET_26/26EEG_TB12F3HET_071421.edf'],[131978240],[65989120],[65989120],256.0,,Jax_Lab,1.0,1.0,1.0,1.0,0.0
TB1_F2_HET_5,C57B6,Het,F,['/Users/Shared/Mice_Jax_Lab/B6/HET/TB1_F2_HET_5/5EEG_TB1F2HET_032421.edf'],[92797440],[46398720],[46398720],256.0,,Jax_Lab,1.0,1.0,0.0,0.0,1.0
TB12_M3_HET_21,C57B6,Het,M,['/Users/Shared/Mice_Jax_Lab/B6/HET/TB12_M3_HET_21/21EEG_TB12M3HET_070921.edf'],[110425600],[55212800],[55212800],256.0,,Jax_Lab,0.0,1.0,1.0,1.0,0.0
TB12_M2_HET_22,C57B6,Het,M,['/Users/Shared/Mice_Jax_Lab/B6/HET/TB12_M2_HET_22/22EEG_TB12M2HET_070921.edf'],[110425600],[55212800],[55212800],256.0,,Jax_Lab,0.0,0.0,0.0,0.0,0.0
TB12_F5_HET_24,C57B6,Het,F,['/Users/Shared/Mice_Jax_Lab/B6/HET/TB12_F5_HET_24/24EEG_TB12F5HET_070921.edf'],[110425600],[55212800],[55212800],256.0,,Jax_Lab,0.0,0.0,0.0,1.0,1.0
TBXD1_F2_WT_5,BXD87,WT,F,['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD1_F2_WT_5/Default_0001_2022-05-16_18_02_45_export.edf'],[48256000],[24128000],[24128000],256.0,,Jax_Lab,0.0,1.0,0.0,0.0,1.0
TBXD1_M4_WT_2,BXD87,WT,M,['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD1_M4_WT_2/Default_0001_2022-05-12_17_02_12_export.edf'],[84290560],[42145280],[42145280],256.0,,Jax_Lab,1.0,1.0,1.0,1.0,0.0
TBXD12_M5_WT_13,BXD87,WT,M,"['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M5_WT_13/13_0002_2022-06-29_07_50_20_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M5_WT_13/13_0001_2022-06-25_15_53_54_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M5_WT_13/13_0002_2022-06-27_11_28_41_export.edf']","[94730240, 8793600, 11320320]","[37308160, 8793600, 11320320]","[37308160, None, None]",256.0,,Jax_Lab,0.0,0.0,1.0,1.0,0.0
TBXD12_M3_WT_14,BXD87,WT,M,"['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M3_WT_14/14_0002_2022-06-30_09_20_29_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M3_WT_14/14_0002_2022-06-27_11_15_44_export.edf']","[71193600, 58252800]","[6470400, 58252800]","[6470400, None]",256.0,,Jax_Lab,0.0,1.0,0.0,0.0,0.0
TBXD1_M2_WT_4,BXD87,WT,M,['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD1_M2_WT_4/Default_0002_2022-05-11_19_21_49_export.edf'],[104256000],[52128000],[52128000],256.0,,Jax_Lab,0.0,1.0,1.0,0.0,0.0
TBXD12_M4_WT_12,BXD87,WT,M,"['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M4_WT_12/12_0001_2022-06-23_09_13_59_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M4_WT_12/12_0001_2022-06-21_11_17_16_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_M4_WT_12/12_0001_2022-06-22_14_25_04_export.edf']","[89894400, 3950080, 4193280]","[40875520, 3950080, 4193280]","[40875520, None, None]",256.0,,Jax_Lab,1.0,0.0,0.0,1.0,1.0
TBXD12_F3_WT_18,BXD87,WT,F,"['/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_F3_WT_18/18_0001_2022-06-22_14_29_05_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_F3_WT_18/18_0001_2022-06-23_09_12_23_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/WT/TBXD12_F3_WT_18/18_0001_2022-06-21_11_20_33_export.edf']","[4254720, 89909760, 16552960]","[4254720, 34551040, 16552960]","[None, 34551040, None]",256.0,,Jax_Lab,1.0,0.0,1.0,1.0,1.0
TD1_F4_WT_17,DBA2,WT,F,"['/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_F4_WT_17/17x1EEG_TD1F4WT_050121.edf', '/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_F4_WT_17/17x2EEG_TD1F4WT_050121.edf']","[3348480, 77452800]","[3348480, 37052160]","[None, 37052160]",256.0,,Jax_Lab,1.0,1.0,1.0,1.0,0.0
TD2_M3_WT_20,DBA2,WT,M,"['/Users/Shared/Mice_Jax_Lab/D2/WT/TD2_M3_WT_20/20x1EEG_TD2M3WT_050121.edf', '/Users/Shared/Mice_Jax_Lab/D2/WT/TD2_M3_WT_20/20x2EEG_TD2M3WT_050121.edf']","[58654720, 65088000]","[58654720, 3216640]","[None, 3216640]",256.0,,Jax_Lab,0.0,0.0,0.0,0.0,1.0
TD1_M1_WT_7,DBA2,WT,M,['/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_M1_WT_7/7EEG_TD1M1WT_040121.edf'],[109189120],[54594560],[54594560],256.0,,Jax_Lab,0.0,1.0,0.0,0.0,0.0
TD2_M4_WT_18,DBA2,WT,M,['/Users/Shared/Mice_Jax_Lab/D2/WT/TD2_M4_WT_18/18EEG_TD2M4WT_050121.edf'],[117009920],[58504960],[58504960],256.0,,Jax_Lab,1.0,0.0,1.0,0.0,1.0
TD1_M4_WT_3,DBA2,WT,M,['/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_M4_WT_3/3EEG_TD1M4WT_032421.edf'],[111690240],[55845120],[55845120],256.0,,Jax_Lab,0.0,0.0,0.0,0.0,1.0
TD1_F2_WT_14,DBA2,WT,F,['/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_F2_WT_14/14EEG_TD1F2R2WT_042621.edf'],[112432640],[56216320],[56216320],256.0,,Jax_Lab,1.0,0.0,1.0,1.0,0.0
TD1_M2_WT_1,DBA2,WT,M,['/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_M2_WT_1/1EEG_TD1M2WT_032421.edf'],[111680000],[55840000],[55840000],256.0,,Jax_Lab,0.0,1.0,1.0,1.0,1.0
TD1_F3_WT_13,DBA2,WT,F,['/Users/Shared/Mice_Jax_Lab/D2/WT/TD1_F3_WT_13/13EEG_TD1F3R3WT_042621.edf'],[112481280],[56240640],[56240640],256.0,,Jax_Lab,1.0,1.0,0.0,1.0,0.0
TB1_F4_WT_9,C57B6,WT,F,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB1_F4_WT_9/9EEG_TB1F4WT_040121.edf'],[94251520],[47125760],[47125760],256.0,,Jax_Lab,1.0,0.0,0.0,0.0,1.0
TB12_M1_WT_23,C57B6,WT,M,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB12_M1_WT_23/23EEG_TB12M1WT_070921.edf'],[110425600],[55212800],[55212800],256.0,,Jax_Lab,0.0,1.0,0.0,0.0,1.0
TB1_F5_WT_8,C57B6,WT,F,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB1_F5_WT_8/8EEG_TB1F5WT_040121.edf'],[109189120],[54594560],[54594560],256.0,,Jax_Lab,1.0,1.0,1.0,1.0,0.0
TB12_F4_WT_28,C57B6,WT,F,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB12_F4_WT_28/28EEG_TB12F4WT_071421.edf'],[89333760],[44666880],[44666880],256.0,,Jax_Lab,1.0,0.0,0.0,0.0,1.0
TB1_F1_WT_4,C57B6,WT,F,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB1_F1_WT_4/4EEG_TB1F1WT_032421.edf'],[88345600],[44172800],[44172800],256.0,,Jax_Lab,1.0,1.0,1.0,1.0,0.0
TB12_F1_WT_27,C57B6,WT,F,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB12_F1_WT_27/27EEG_TB12F1WT_071421.edf'],[121541120],[60770560],[60770560],256.0,,Jax_Lab,0.0,0.0,1.0,1.0,0.0
TB1_F3_WT_6,C57B6,WT,F,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB1_F3_WT_6/6EEG_TB1F3WT_032421.edf'],[86858240],[43429120],[43429120],256.0,,Jax_Lab,0.0,0.0,0.0,1.0,1.0
TB1_M1_WT_10,C57B6,WT,M,['/Users/Shared/Mice_Jax_Lab/B6/WT/TB1_M1_WT_10/10EEG_TB1M1WT_040121.edf'],[109189120],[54594560],[54594560],256.0,,Jax_Lab,0.0,1.0,1.0,0.0,0.0
